id,filename,family,control_ref,v1_expected_status,v1_expected_risk,v2_expected_status,v2_expected_risk,severity_rule_id,changed,adjudication_reason,scenario_style
VAL-010,val_010_at_at_3.json,AT,AT-3,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Required role-based training was bypassed for a production global administrator. This is a major privileged-governance failure, but the scenario does not show compromise, data disclosure, or unauthorized privileged misuse.",privileged_access
VAL-012,val_012_au_au_3.json,AU,AU-3,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Privileged actions cannot be reliably attributed and administrators can alter audit evidence. This materially defeats accountability, but no active compromise or confirmed destructive event is stated.",high_impact_audit_failure
VAL-015,val_015_au_au_2.json,AU,AU-2,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Identity-provider and administrative logging are absent, creating a major monitoring and accountability failure. The scenario does not state that compromise or data loss has already occurred.",high_impact_exposure
VAL-020,val_020_ca_ca_2.json,CA,CA-2,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Major security-relevant architecture changes have operated for an extended period without reassessment. This is a major authorization/assessment failure, but no active compromise is described.",high_impact_change
VAL-029,val_029_cp_cp_10.json,CP,CP-10,PARTIALLY_COMPLIANT,MODERATE,NON_COMPLIANT,HIGH,R3,YES,"A known missing signing-key dependency prevents alternate-region reconstitution. The contingency capability is materially ineffective, so this is more than a bounded deficiency; no outage is currently occurring.",control_evidence
VAL-030,val_030_cp_cp_9.json,CP,CP-9,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Production backups have failed for 19 consecutive days and lack independent protection. This is a major recoverability failure, but the scenario does not state that a current outage or irreversible data loss is occurring.",availability_exposure
VAL-035,val_035_ia_ia_2.json,IA,IA-2,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,A shared password-only global administrator credential with MFA disabled is a major privileged-access failure. The supplied evidence does not state that the credential was misused or externally exposed.,privileged_access
VAL-062,val_062_pm_pm_5.json,PM,PM-5,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"A sensitive production system is outside enterprise inventory and authorization tracking. This is a major governance failure, but no direct compromise or disclosure is stated.",high_impact_governance_failure
VAL-065,val_065_pm_pm_5.json,PM,PM-5,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"An internet-facing sensitive production system lacks inventory, ownership, and authorization records. The governance failure is major, but the evidence does not identify a current exploit, breach, or exposed data path.",high_impact_exposure
VAL-084,val_084_sa_sa_3.json,SA,SA-3,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"A production service bypassed required threat-modeling and security-testing gates. This is a major SDLC control failure, but no active vulnerability exploitation or compromise is demonstrated.",high_impact_change
VAL-085,val_085_sa_sa_4.json,SA,SA-4,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Sensitive production data is provided to a supplier without required contractual security/privacy protections. The exposure potential is significant, but the scenario does not state that the supplier disclosed or misused the data.",supply_chain_exposure
VAL-089,val_089_sc_sc_28.json,SC,SC-28,NON_COMPLIANT,CRITICAL,NON_COMPLIANT,HIGH,R3,YES,"Sensitive production information is stored without the documented at-rest cryptographic protection. Access remains scoped to an analytics role and no disclosure is stated, so this is HIGH rather than CRITICAL.",data_exposure
