id,source_file,family,control_ref,actual_status,actual_risk,latency_seconds,violated_controls,audit_findings,mandated_remediation
BLIND-001,blind_001_ac_ac_2.json,AC,AC-2,COMPLIANT,LOW,10.1117,,"The system has implemented account management practices that include manager and system-owner approval for new accounts, automatic disabling of terminated users, expiration of privileged assignments unless renewed, and a recent quarterly review that confirmed no orphaned privileged accounts. These practices affirmatively support the requirements of AC-2 and AC-2.1 without any material deficiencies.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-002,blind_002_ac_ac_17.json,AC,AC-17,PARTIALLY_COMPLIANT,MODERATE,9.715,AC-17,"The system uses a managed VPN with MFA and device certificates for remote access, and vendor sessions are restricted to a support subnet. However, one vendor account remained enabled for 12 days beyond the documented removal window after being inactive for 45 days, indicating a bounded deficiency in account management.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Review and enforce account management policies to ensure that inactive accounts are disabled within the documented removal window.
BLIND-003,blind_003_ac_ac_6.json,AC,AC-6,NON_COMPLIANT,HIGH,6.8909,AC-6,"Production administrators have a standing role with excessive permissions beyond their daily duties, indicating a violation of the least privilege principle. This presents a major deficiency as the core control requirement is materially ineffective in production.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Implement just-in-time role elevation or narrower roles for routine work to align with the principle of least privilege.
BLIND-004,blind_004_ac_ac_3.json,AC,AC-3,NON_COMPLIANT,CRITICAL,8.5748,AC-3,"The PostgreSQL security group allows unrestricted access (0.0.0.0/0) to the database on TCP/5432, exposing sensitive applicant identity and eligibility records directly to the public internet. This configuration violates the access enforcement requirements of AC-3, as it does not effectively restrict access to authorized users only.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.",Implement a network allowlist to restrict access to the PostgreSQL database to trusted IP addresses and consider using a private endpoint to enhance security.
BLIND-005,blind_005_ac_ac_20.json,AC,AC-20,COMPLIANT,LOW,8.1871,,"The application calls an external tax-validation service that is documented and listed on the approved external-systems register. Outbound traffic is restricted to the provider endpoints, the OAuth token has only the required validation scope, and the connection owner completed the scheduled review this month. No local credentials are stored on the external service.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-006,blind_006_at_at_2.json,AT,AT-2,COMPLIANT,LOW,5.7812,,"All active employees and contractors are automatically enrolled in annual security and privacy awareness training. Access to enterprise applications is blocked for new personnel until initial training is completed. The current roster shows no overdue active users, and completion records are retained in the learning system, supporting compliance with AT-2.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-007,blind_007_at_at_4.json,AT,AT-4,PARTIALLY_COMPLIANT,MODERATE,7.939,AT-4,"Training completion records for four contractors were not exported from a subsidiary learning portal into the central archive, indicating a deficiency in the documentation and monitoring of training records. However, their training can still be verified in the source portal, and access controls were not affected. The archive correction is open, which limits the scope of the deficiency.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, the organization should prioritize the export of the training records from the subsidiary portal to the central archive and ensure that this process is completed in a timely manner."
BLIND-008,blind_008_at_at_3.json,AT,AT-3,NON_COMPLIANT,HIGH,13.1975,AT-3,"The platform engineer was granted production administrator access before completing the required role-based security training, indicating a significant gap in compliance with the AT-3 control requirements.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",The organization should ensure that all personnel complete the required role-based security training before being granted access to production systems.
BLIND-009,blind_009_at_at_3.json,AT,AT-3,NON_COMPLIANT,CRITICAL,7.6519,AT-3,"A temporary operator was granted production export privileges without the required data-handling and administrator training, leading to the confirmed copying of sensitive data (claimant Social Security numbers) to a personal cloud-storage account. This constitutes a confirmed sensitive data disclosure and unauthorized privileged use, as the operator acted without proper training and authorization.

Deterministic severity rule R4 was triggered by: confirmed sensitive-data disclosure or loss; actual unauthorized privileged use; sensitive media or data left organizational control without adequate protection.","Immediate training on data handling and security protocols should be provided to all personnel with access to sensitive data. Additionally, access controls should be reviewed and enforced to prevent unauthorized access to sensitive information."
BLIND-010,blind_010_at_at_2.json,AT,AT-2,PARTIALLY_COMPLIANT,MODERATE,6.7122,AT-2,"The annual awareness campaign is complete for 98% of active personnel. Two non-privileged call-center employees are five days past the training due date due to extended leave, but their accounts are limited to the call-center application. Automated reminders and manager follow-up are active, indicating a strong effort to ensure compliance with training requirements.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",The two overdue call-center employees should complete their training as soon as possible to maintain compliance with the awareness training requirement.
